-,-,-
-277, 11, 994
-322, 90, 907
-251, 83, 943
-196, 70, 1091
-196, 70, 1091
-175, 46, 1018
-204, 9, 981
-249, 91, 1003
-202, 83, 1018
-234, 30, 1127
-234, 30, 1127
-190, -7, 1197
-177, 27, 1090
-173, 49, 930
-140, 21, 1048
-188, 5, 1104
-188, 5, 1104
-202, 4, 1022
-186, -1, 1007
-232, 7, 899
-244, -5, 842
-232, -11, 934
-232, -11, 934
-216, -1, 939
-243, 19, 925
-217, 6, 858
-106, -1, 773
-,-,-
-134, 57, 1011
-149, 65, 947
-139, 61, 1003
-139, 55, 1008
-130, 51, 1013
-130, 51, 1013
-144, 50, 999
-145, 53, 992
-144, 56, 995
-141, 67, 994
-141, 67, 994
-135, 66, 1011
-136, 59, 1011
-141, 56, 1001
-146, 53, 993
-145, 57, 988
-145, 57, 988
-136, 51, 1009
-134, 55, 1013
-137, 55, 1005
-139, 61, 1000
-139, 56, 1002
-145, 59, 986
-145, 59, 986
-138, 58, 1003
-136, 53, 1007
-138, 57, 1000
-138, 54, 1003
-138, 56, 1004
-138, 56, 1004
-139, 55, 1003
-137, 57, 1006
-139, 53, 999
-140, 53, 999
-135, 57, 1011
-135, 57, 1011
-136, 54, 1004
-146, 55, 992
-142, 61, 990
-141, 60, 1002
-133, 45, 1008
-138, 65, 1004
-138, 65, 1004
-139, 55, 1003
-138, 59, 998
-136, 57, 1005
-138, 53, 1001
-137, 52, 1000
-137, 52, 1000
-135, 54, 1004
-135, 55, 1003
-137, 56, 998
-133, 55, 1006
-134, 53, 1007
-137, 56, 999
-137, 56, 999
-134, 56, 1005
-134, 53, 1005
-135, 48, 1002
-139, 54, 992
-126, 49, 995
-126, 49, 995
-139, 57, 1004
-133, 60, 1017
-129, 54, 1009
-132, 54, 999
-135, 54, 993
-135, 54, 993
-128, 52, 1003
-132, 61, 1012
-130, 54, 1006
-133, 53, 997
-130, 51, 1001
-130, 51, 1001
-128, 55, 1006
-130, 54, 1002
-126, 54, 1007
-132, 54, 1004
-126, 57, 1009
-169, 69, 1007
-169, 69, 1007
-122, 74, 1058
