-,-,-
-333, -902, 51
-394, -837, -64
-292, -444, -29
-361, -195, -89
-652, -220, -210
-764, 18, -137
-658, 209, 38
-658, 209, 38
-583, 189, 120
-724, -86, 312
-752, -462, 400
-312, -624, 176
69, -1117, 20
560, -1295, 561
560, -1295, 561
837, -1514, 841
776, -1897, 885
687, -1959, 1095
478, -1989, 1185
66, -1998, 1146
-218, -1998, 1112
-413, -1998, 1119
-680, -1998, 1167
-742, -1998, 935
-234, -1808, 789
252, -1215, 623
415, -911, 412
393, -738, 440
608, -284, 374
1010, 363, 258
1010, 363, 258
1053, 513, 204
672, 306, 73
491, 247, 244
527, 241, 430
-,-,-
-305, -703, 107
-396, -605, 131
-443, -459, -39
-434, -241, -102
-386, -13, 74
-454, -131, 14
-454, -131, 14
-456, -171, 148
-276, -8, 173
-30, 111, 336
-361, -516, 306
-371, -1144, 333
58, -1419, 262
613, -1264, 535
613, -1264, 535
730, -1371, 929
445, -1784, 1037
106, -1998, 1020
-20, -1998, 1144
-80, -1998, 1192
-222, -1998, 1185
-510, -1998, 1137
-851, -1998, 1076
-930, -1998, 905
-569, -1817, 790
-154, -1358, 508
-139, -1283, 659
-107, -1059, 614
516, -250, 701
858, 111, 324
573, -57, 145
573, -57, 145
663, 213, 138
985, 596, 490
916, 584, 386
420, 140, 325
420, 140, 325
237, -163, 448
-,-,-
-260, -499, 72
-303, -462, -43
-477, -415, 44
-541, -342, 30
-541, -342, 30
-409, -121, 109
-208, 41, 119
-363, -135, 154
-464, -386, 263
-387, -447, 397
-192, -562, 260
37, -1000, 339
189, -1366, 325
189, -1366, 325
170, -1672, 788
316, -1671, 851
424, -1739, 890
286, -1990, 971
247, -1998, 1133
237, -1998, 1312
43, -1998, 1267
-442, -1998, 1138
-1033, -1998, 1027
-1381, -1998, 1039
-1118, -1998, 837
-741, -1818, 166
-480, -1296, 191
-305, -762, 438
226, 100, 601
1014, 883, 524
1304, 1142, 448
1304, 1142, 448
1183, 976, 641
920, 711, 737
766, 485, 526
-,-,-
-551, -520, 143
-355, -217, 218
-288, -7, 97
-288, -7, 97
-511, -186, -136
-565, -216, -106
-324, 101, 165
-249, 39, 305
-317, -154, 340
-287, -534, 44
36, -847, 105
36, -847, 105
16, -1277, 502
-398, -1888, 847
-721, -1998, 786
-176, -1980, 968
591, -1648, 1267
611, -1736, 1292
286, -1985, 1372
198, -1983, 1216
68, -1895, 1294
-838, -1998, 1206
-1922, -1998, 753
-1614, -1998, 480
-1226, -1750, 150
-794, -1174, 100
-433, -602, 332
177, 154, 379
177, 154, 379
894, 857, 429
1489, 1351, 501
1320, 1144, 812
942, 746, 1124
-,-,-
-634, -603, -7
-502, -292, -59
-432, -97, -183
-519, -97, -26
-519, -72, -26
-549, -59, -67
-483, 0, 110
-336, -8, 376
-127, 34, 434
-127, 34, 434
-214, -347, 412
-303, -815, 215
-140, -1114, 295
126, -1355, 482
109, -1837, 701
-34, -1998, 905
82, -1998, 1209
112, -1998, 1475
-218, -1998, 1397
-595, -1998, 1125
-938, -1998, 1152
-1362, -1998, 951
-1636, -1998, 509
-1388, -1823, 218
-616, -865, 203
-58, -262, 361
229, 123, 464
229, 123, 464
573, 536, 517
1275, 1169, 515
1748, 1505, 560
1424, 1121, 578
-,-,-
-570, -569, -57
-570, -569, -57
-586, -442, -219
-331, 8, 18
-259, 218, 157
-241, 280, 75
-135, 388, -56
25, 508, 246
25, 508, 246
-118, 195, 304
-409, -424, 370
-456, -929, 445
-486, -1594, 463
-236, -1987, 496
310, -1998, 928
645, -1998, 1215
297, -1998, 1400
297, -1998, 1400
-313, -1998, 1429
-612, -1998, 1273
-900, -1998, 1009
-1390, -1998, 674
-1372, -1850, 120
-1093, -1346, 3
-1093, -1346, 3
-788, -909, 179
-300, -356, 72
13, -15, 324
294, 189, 512
755, 522, 834
755, 522, 834
1346, 879, 1149
1429, 901, 1093
1133, 484, 1048
-,-,-
-562, -430, -5
-562, -430, -5
-622, -335, -268
-495, 62, 46
-306, 316, 291
-384, 315, 127
-574, 39, 167
-574, 39, 167
-458, 48, 292
-336, -85, 553
-162, -363, 246
-255, -1248, 113
-18, -1738, 230
314, -1897, 727
391, -1996, 1146
137, -1998, 1121
-225, -1998, 1285
-120, -1998, 1313
-187, -1998, 1078
-702, -1998, 676
-1406, -1998, 442
-1641, -1998, 281
-1499, -1998, 115
-1326, -1787, 304
-760, -1092, 355
-430, -495, 636
159, 300, 502
159, 300, 502
779, 851, 391
1676, 1578, 761
1629, 1388, 1042
943, 630, 1359
852, 613, 1001
597, 51, 475
-,-,-
-297, -472, 85
-361, -422, -11
-411, -334, 132
-411, -334, 132
-375, -199, 33
-455, -136, 165
-505, -147, 101
-619, -195, 317
-462, -98, 303
-189, 81, 330
-70, -15, 269
-70, -15, 269
-93, -510, 191
131, -954, 34
430, -1098, 165
503, -1394, 494
163, -1987, 869
-183, -1998, 1318
-224, -1998, 1634
-219, -1998, 1791
-691, -1998, 1547
-1401, -1998, 1561
-1188, -1998, 1397
-862, -1780, 1065
-752, -1427, 367
-431, -882, 62
119, -179, 582
787, 593, 763
787, 593, 763
1203, 842, 312
1251, 838, 197
1093, 670, 368
855, 457, 603
-,-,-
-592, -451, 205
-502, -270, 299
-296, -14, 273
-224, 85, 182
-224, 85, 182
-335, 3, 192
-432, -94, 305
-233, 48, 475
-7, 61, 347
-7, 61, 347
28, -175, 116
-127, -755, 147
-191, -1318, 287
-95, -1813, 521
-107, -1996, 558
-145, -1998, 911
-145, -1998, 911
-153, -1998, 1230
-162, -1998, 1417
-227, -1998, 1345
-1527, -1998, 1068
-1720, -1998, 727
-1117, -1747, 478
-682, -1218, 164
-441, -862, 324
-441, -862, 213
164, -223, 213
757, 392, 467
1332, 1008, 759
1485, 1081, 979
1504, 1053, 1038
1150, 711, 871
826, 312, 601
-,-,-
-477, -393, 196
-434, -95, 206
-541, -141, 134
-578, -94, -51
-551, 37, 74
-426, 240, 206
-349, 256, 197
-349, 256, 197
-373, 87, 155
-302, -190, 376
41, -464, 176
215, -966, 33
174, -1377, 388
174, -1377, 388
103, -1939, 821
149, -1998, 1271
339, -1998, 1482
177, -1998, 1634
-79, -1998, 1475
-70, -1998, 1463
-57, -1998, 1423
-630, -1998, 1220
-1271, -1998, 1035
-1115, -1960, 626
-645, -1341, 122
-706, -1263, 9
-923, -1331, 274
-112, -243, 545
836, 642, 364
1029, 720, 33
801, 720, 439
801, 431, 439
1297, 953, 829
1334, 966, 943
1048, 506, 573
-,-,-
-557, -507, 94
-326, -155, 198
-232, -20, 152
-305, -45, 223
-299, -51, 138
-299, -51, 138
-268, 92, 254
-285, 77, 260
-284, -5, 342
-269, -134, 465
-242, -415, 428
-343, -913, 414
-343, -913, 414
-293, -1328, 480
107, -1439, 456
20, -1927, 688
-215, -1998, 928
-270, -1998, 1181
-103, -1998, 1189
-7, -1998, 1244
-138, -1998, 1011
-318, -1931, 937
-675, -1950, 956
-1200, -1998, 631
-1685, -1998, 172
-1679, -1967, -20
-940, -1070, 404
-56, -216, 450
387, 133, 188
224, -104, 279
895, 643, 920
895, 643, 920
1479, 1102, 1114
1231, 705, 966
905, 313, 933
868, 298, 661
715, 43, 468
715, 43, 468
-,-,-
-572, -243, 76
-466, 25, 140
-303, 181, 132
-131, 351, 228
-131, 351, 228
-304, 165, 278
-360, 61, 296
-296, 2, 385
-162, -237, 230
31, -620, 165
31, -620, 165
85, -1190, 206
179, -1707, 384
166, -1989, 737
281, -1954, 1112
156, -1996, 1205
-137, -1998, 1206
-310, -1998, 1234
-388, -1998, 1238
-687, -1998, 1010
-1304, -1998, 938
-1417, -1998, 662
-921, -1644, 597
-555, -1075, 188
-200, -595, -52
430, 38, 198
1323, 974, 208
1323, 974, 208
1207, 754, 556
772, 311, 1013
-,-,-
-476, -350, -94
-577, -358, 39
-538, -171, 268
-431, -43, 220
-285, 81, 88
-285, 81, 88
-304, 35, 132
-472, -245, 296
-322, -215, 359
-79, -340, 234
-69, -862, 83
-69, -862, 83
-50, -1377, 187
116, -1681, 636
289, -1777, 843
136, -1970, 983
38, -1998, 1204
180, -1998, 1487
362, -1858, 1375
19, -1952, 1102
-567, -1998, 921
-736, -1998, 925
-912, -1998, 676
-1186, -1998, 254
-1186, -1899, 90
-606, -1215, 260
97, -517, 429
97, -517, 429
426, -118, 360
625, 136, 348
1010, 585, 353
721, 216, 758
721, 216, 758
745, 422, 1075
-,-,-
-325, -176, 49
-88, 161, 269
-118, 178, -73
-349, -15, 12
-323, -6, 78
-323, -6, 78
-112, 220, 316
-159, 57, 309
-338, -391, 241
-431, -851, 413
-192, -1223, 450
-192, -1223, 450
178, -1352, 543
56, -1819, 776
-124, -1987, 1253
-29, -1998, 1563
228, -1968, 1455
7, -1998, 1330
-473, -1998, 1440
-763, -1998, 1513
-1113, -1998, 1399
-1195, -1998, 944
-1072, -1879, 642
-801, -1426, 605
-313, -823, 414
22, -415, 184
-76, -381, 194
437, 251, 414
1155, 827, 449
1155, 827, 449
1246, 813, 476
1020, 595, 510
752, 339, 769
-,-,-
-328, -243, 197
-461, -355, 130
-334, -86, 95
-334, -86, 95
-113, 147, 124
-195, 110, 184
-489, -198, 66
-431, -116, 258
-65, 204, 323
-65, 204, 323
-138, -32, 334
-418, -681, 466
-410, -1158, 380
-267, -1355, 515
-28, -1408, 673
44, -1735, 798
-54, -1983, 900
-8, -1922, 1149
45, -1815, 1282
45, -1815, 1282
-275, -1988, 1408
-500, -1998, 1160
-901, -1998, 1185
-1707, -1998, 1365
-1998, -1998, 1220
-705, -1034, 552
-448, -794, 378
-448, -794, 378
-434, -626, 455
-11, -53, 779
991, 933, 809
1586, 1223, 144
1325, 816, 286
1222, 755, 1033
1264, 828, 950
1264, 828, 950
-,-,-
-366, -354, 29
-314, -280, -141
