-1998, 1997, 1974
-1998, 1903, 1998
-1998, 894, 1998
-,-,-
1545, 269, -1473
1997, -390, -1983
1997, -909, -1997
1997, 204, -1997
1997, 1968, -1997
-208, 1997, -1042
-1998, 1997, 1746
-1998, 1997, 1998
-1998, 1997, 1998
-1998, 1424, 1998
-,-,-
762, 147, -1142
1962, -138, -1956
1997, -939, -1997
1997, -355, -1997
1997, 1799, -1997
801, 1997, -1457
-1990, 1997, 1444
-1998, 1997, 1998
-1998, 1997, 1878
-1998, 1775, 1777
-,-,-
230, -326, -574
1470, -260, -1258
1997, -706, -1993
1997, -887, -1997
1997, 535, -1997
1997, 1990, -1824
-294, 1997, -210
-1995, 1997, 1377
-1998, 1997, 1682
-1998, 1997, 1666
-,-,-
79, -340, -725
1342, -243, -1588
1997, -333, -1997
1997, -262, -1997
1997, 1239, -1997
1997, 1997, -1974
-110, 1997, -947
-1998, 1997, 1527
-1998, 1997, 1998
-1998, 1997, 1998
-1998, 1301, 1998
-1998, 101, 1998
-,-,-
1306, -702, -1691
1997, -1140, -1997
1997, -1061, -1997
1997, 1256, -1997
1913, 1997, -1978
-914, 1997, 254
-1998, 1997, 1998
-1998, 1997, 1998
-1998, 1997, 1998
-1998, 1376, 1998
-,-,-
1797, -29, -1718
1997, -524, -1997
1997, -512, -1997
1997, 1423, -1997
1989, 1997, -1997
-1087, 1997, -343
-1998, 1997, 1937
-1998, 1997, 1936
-1998, 1977, 1802
-1998, 922, 1998
-1998, 363, 1966
-1926, 193, 1683
-,-,-
1112, -450, -1093
1968, -562, -1673
1997, -684, -1997
1997, -292, -1997
1997, 1293, -1997
1988, 1997, -1945
-423, 1997, -538
-1998, 1997, 1588
-1998, 1997, 1998
-1998, 1997, 1998
-1998, 1680, 1998
-1998, 739, 1773
-,-,-
1175, 48, -1184
1995, -77, -1885
1997, -341, -1997
1997, 771, -1997
1997, 1997, -1997
1554, 1997, -1762
-1555, 1997, -213
-1998, 1997, 1698
-1998, 1997, 1998
-1998, 1997, 1729
-,-,-
1564, -483, -1437
1997, -1082, -1997
1997, -689, -1997
1997, 1106, -1997
1997, 1997, -1997
168, 1997, -1547
-1998, 1997, 750
-1998, 1997, 1998
-1998, 1997, 1998
-1998, 1803, 1998
-1998, 510, 1895
-,-,-
1148, -466, -1469
1996, -510, -1980
1997, -552, -1997
1997, 1198, -1997
1868, 1997, -485
1868, 1997, -485
-1323, 1997, 1143
-1998, 1997, 700
-1998, 1997, -239
-1998, 1801, 562
-1998, 924, 1014
-1998, 241, 1291
-,-,-
880, -88, -990
1978, -222, -1677
1997, -662, -1997
1997, -669, -1997
1997, 1235, -1997
1995, 1997, -1904
-625, 1997, 32
-1998, 1997, 1970
-1998, 1997, 1998
-1998, 1997, 1998
-1998, 1281, 1733
-,-,-
1931, 261, -1482
1997, -621, -1997
1997, -1105, -1997
1997, 908, -1997
1989, 1997, -1990
-756, 1997, -853
-1998, 1997, 1346
-1998, 1997, 1958
-1998, 1997, 1803
-1998, 1702, 1631
-,-,-
1985, -116, -1519
1997, -666, -1997
1997, -448, -1997
1997, 1586, -1997
1997, 1997, -1914
299, 1997, -331
-1998, 1997, 1848
-1998, 1997, 1998
-1998, 1997, 1998
-1998, 1310, 1982
-1998, 471, 1624
-,-,-
1997, -1202, -1997
1997, -1750, -1997
1997, 187, -1997
1997, 1989, -1997
1997, 1997, -1788
-214, 1997, 535
-1998, 1997, 1998
-1998, 1997, 1998
-1998, 1997, 1998
-1998, 1550, 1998
-1998, 1074, 1823
-1998, 821, 1279
-,-,-
1997, -1412, -1997
1997, 82, -1997
1997, 1962, -1997
1997, 1997, -1989
640, 1997, -341
-1795, 1997, 1810
-1998, 1997, 1998
-1998, 1997, 1998
-1998, 1619, 1996
-1998, 554, 1681
-1998, 206, 719
-1998, 206, 719
-1998, -141, 403
-1998, -264, 551
-,-,-
1962, -445, -1905
1962, -445, -1905
1997, -325, -1997
1997, 1327, -1997
1997, 1997, -1997
669, 1997, -1206
-1966, 1997, 1560
-1998, 1997, 1998
-1998, 1997, 1998
-1998, 1782, 1998
-1998, 618, 1825
-1988, 292, 1294
-,-,-
1513, 204, -1244
1997, -653, -1987
1997, -1513, -1997
1997, -6, -1997
1997, 1946, -1997
1164, 1997, -1083
-1895, 1997, 1570
-1998, 1997, 1998
-1998, 1997, 1998
-1998, 1970, 1998
-,-,-
1997, -499, -1792
1997, -773, -1997
1997, -354, -1997
1997, 1584, -1997
1997, 1997, -1955
352, 1997, -280
-1998, 1997, 1980
-1998, 1997, 1998
-1998, 1997, 1998
-1998, 1882, 1998
-,-,-
1997, 15, -1859
1997, -695, -1997
1997, 435, -1997
1997, 1988, -1997
1685, 1997, -1540
-1751, 1997, 1120
-1998, 1997, 1998
-1998, 1997, 1998
-1998, 1936, 1998
-1998, 765, 1752
-,-,-
1275, 481, -794
1990, 591, -1344
1997, -306, -1926
1997, -774, -1997
1997, 1328, -1997
679, 1997, -1372
-1998, 1997, 1428
-1998, 1997, 1998
-1998, 1997, 1998
-,-,-
1997, -75, -1984
1997, -1372, -1997
1997, -624, -1997
1997, 1830, -1997
-179, 1997, -680
-1998, 1997, 1805
-1998, 1997, 1980
-1998, 1997, 1989
-1998, 1403, 1998
-1998, 724, 1937
-,-,-
776, 191, -576
1915, 3, -1207
1997, -267, -1955
1997, -958, -1997
1997, 611, -1997
1996, 1997, -1900
-1080, 1997, 55
-1998, 1997, 1986
-1998, 1997, 1998
-1998, 1997, 1998
-1998, 1419, 1998
-,-,-
1948, 324, -1190
1997, -149, -1964
1997, -846, -1997
1997, 468, -1997
1997, 1976, -1753
-405, 1997, -9
-1998, 1997, 1836
-1998, 1997, 1556
-1998, 1993, 1415
-1998, 1427, 1596
-1998, 1031, 1988
-,-,-
1974, 1260, -1194
1997, -214, -1745
1997, -1140, -1997
1997, 1117, -1997
1486, 1997, -1461
-1940, 1997, 362
-1998, 1997, 1667
-1998, 1997, 1998
-1998, 1996, 1998
-,-,-
566, 268, -373
1729, 439, -982
1997, 182, -1626
1997, -1049, -1997
1997, -85, -1997
1997, 1980, -1974
-544, 1997, -632
-1998, 1997, 1742
-1998, 1997, 1996
-1998, 1997, 1998
-,-,-
1997, 93, -1195
1997, -567, -1976
1997, -1004, -1997
1997, 838, -1991
1354, 1997, -1182
-1776, 1997, 1108
-1998, 1997, 1998
